ter;plot;label;ms;com;water;probes;soil.moisture;soil.moisture.j2;soil.moisture.j3;soil.moisture.j4;temperature;PAR;notes
2;5;563;1;A;1;1;8,3;;;;NA;180;NA
2;5;568;0;D;0;1;7,3;;;;NA;250;NA
2;5;585;1;P;1;1;13,4;;;;NA;285;NA
2;5;587;0;A;1;1;9,3;;;;NA;308;NA
2;5;588;1;M;1;1;6,3;;;;NA;140;NA
2;5;589;0;M;0;1;5;;;;NA;312;NA
2;5;597;0;M;0;1;6,6;;;;NA;280;NA
2;5;598;1;P;0;1;6,3;;;;NA;120;NA
2;5;599;0;P;0;1;5,6;;;;NA;295;NA
2;5;618;1;D;0;1;4,9;;;;NA;90;NA
2;5;624;0;A;0;1;6,7;;;;NA;305;NA
2;5;625;1;A;0;1;6,4;;;;NA;126;NA
2;5;628;0;D;0;1;6,7;;;;NA;309;NA
2;5;629;1;D;0;1;6,2;;;;NA;224;NA
2;5;631;0;D;0;1;4,1;;;;NA;296;NA
2;5;637;1;D;0;1;7,5;;;;NA;65;NA
2;6;490;0;D;1;1;11,5;;;;NA;315;NA
2;6;502;1;P;0;1;5,7;;;;NA;308;NA
2;6;503;0;P;0;1;4,8;;;;NA;303;NA
2;6;504;1;P;1;1;8;;;;NA;65;NA
2;6;505;0;P;1;1;8,2;;;;NA;297;NA
2;6;506;1;D;1;1;11,8;;;;NA;246;NA
2;6;514;1;D;1;1;12,8;;;;NA;70;NA
2;6;515;0;D;1;1;8,9;;;;NA;311;NA
2;6;523;1;P;0;1;7,7;;;;NA;150;NA
2;6;552;1;M;1;1;9,4;;;;NA;82;NA
2;6;557;1;M;1;1;8,8;;;;NA;250;NA
2;6;558;0;M;0;1;3,9;;;;NA;328;NA
2;6;560;0;A;0;1;6;;;;NA;326;NA
2;7;642;1;A;0;1;4,4;;;;NA;321;NA
2;7;656;0;M;0;1;5;;;;NA;331;NA
2;7;657;1;M;1;1;13,6;;;;NA;300;NA
2;7;660;1;M;1;1;12,3;;;;NA;70;NA
2;8;409;1;D;1;1;12,8;;;;NA;280;NA
2;8;410;0;D;1;1;10,1;;;;NA;321;NA
2;8;421;0;A;0;1;8,9;;;;NA;253;NA
2;8;428;1;A;0;1;7,6;;;;NA;330;NA
2;8;432;0;M;0;1;6,1;;;;NA;327;NA
2;8;443;0;M;1;1;14,4;;;;NA;300;NA
2;8;446;1;M;0;1;6,7;;;;NA;321;NA
2;8;451;0;A;0;1;7,4;;;;NA;331;NA
2;8;452;1;A;1;1;8,7;;;;NA;237;NA
2;8;462;0;A;1;1;9,7;;;;NA;322;NA
2;8;480;1;A;0;1;7,9;;;;NA;141;NA
3;9;887;0;M;1;1;10,7;;;;NA;308;NA
3;9;891;0;M;0;1;5,6;;;;NA;305;NA
3;9;892;1;M;1;1;11,3;;;;NA;49;NA
3;9;899;0;P;1;1;6;;;;NA;306;NA
3;9;907;0;A;0;1;6,3;;;;NA;304;NA
3;9;913;0;M;0;1;5,1;;;;NA;304;NA
3;9;915;0;D;0;1;5,6;;;;NA;304;NA
3;9;923;0;A;1;1;8,3;;;;NA;312;NA
3;9;925;1;P;0;1;4,8;;;;NA;200;NA
3;9;926;0;D;0;1;4,6;;;;NA;312;NA
3;9;928;0;P;1;1;10,2;;;;NA;312;NA
3;9;936;0;P;0;1;7,9;;;;NA;302;NA
3;9;939;1;M;0;1;5,4;;;;NA;100;NA
3;9;948;0;D;1;1;10,3;;;;NA;303;NA
3;9;956;1;M;1;1;10,8;;;;NA;80;NA
3;10;1117;1;D;0;1;5,6;;;;NA;100;NA
3;10;1145;1;D;0;1;6,5;;;;NA;140;NA
3;10;1068;1;D;0;1;3,7;;;;NA;60;NA
3;11;1022;0;M;0;1;6,2;;;;NA;306;NA
3;11;1030;0;D;0;1;6,3;;;;NA;306;NA
3;11;1031;0;P;0;1;9,1;;;;NA;306;NA
3;11;1032;1;P;0;1;8,9;;;;NA;32;NA
3;11;1043;0;M;1;1;12,7;;;;NA;308;NA
3;11;1044;1;M;0;1;7,6;;;;NA;200;NA
3;11;1153;0;M;0;1;12,4;;;;NA;303;NA
3;11;1154;1;M;0;1;8,6;;;;NA;230;NA
3;11;1156;0;A;1;1;16,8;;;;NA;307;NA
3;11;1095;1;A;0;1;8,4;;;;NA;33;NA
3;11;1005;1;D;1;1;5,7;;;;NA;29;NA
3;11;1021;0;D;1;1;9,6;;;;NA;314;NA
3;12;805;1;A;0;1;7,3;;;;NA;53;NA
3;12;810;1;D;0;1;6,7;;;;NA;211;NA
3;12;814;0;P;0;1;4,9;;;;NA;301;NA
3;12;825;0;P;0;1;3,8;;;;NA;301;NA
3;12;833;1;P;0;1;5,5;;;;NA;122;NA
3;12;849;0;D;0;1;5,8;;;;NA;306;NA
3;12;850;1;D;1;1;8,7;;;;NA;73;NA
3;12;851;1;M;0;1;5;;;;NA;39;NA
3;12;858;0;M;1;1;11,1;;;;NA;22;NA
3;12;865;1;A;0;1;6,2;;;;NA;20;NA
3;12;876;1;P;0;1;6,8;;;;NA;11;NA
4;13;362;0;A;0;1;12,2;;;;NA;275;NA
4;13;367;0;D;1;1;12,4;;;;NA;302;NA
4;13;375;1;M;0;1;8,1;;;;NA;150;NA
4;13;376;0;M;1;1;8,5;;;;NA;296;NA
4;13;386;1;M;1;1;16,8;;;;NA;200;NA
4;13;384;1;P;1;1;11;;;;NA;255;NA
4;13;969;0;M;0;1;7;;;;NA;266;NA
4;13;975;1;A;1;1;14,9;;;;NA;65;NA
4;13;984;1;M;1;1;12,1;;;;NA;270;NA
4;13;987;0;A;1;1;15,5;;;;NA;280;NA
4;14;296;0;D;1;1;13,4;;;;NA;250;NA
4;14;297;1;D;1;1;11,4;;;;NA;175;NA
4;14;300;1;D;0;1;9;;;;NA;95;NA
4;14;308;1;D;0;1;6,1;;;;NA;245;NA
4;14;319;0;M;0;1;8,4;;;;NA;255;NA
4;14;321;1;M;1;1;13,2;;;;NA;75;NA
4;14;331;1;A;1;1;11,3;;;;NA;264;NA
4;14;332;0;P;0;1;7,9;;;;NA;235;NA
4;14;353;0;P;1;1;8,6;;;;NA;214;NA
4;15;1453;1;D;1;1;10;;;;NA;151;NA
4;15;1459;0;D;1;1;10,5;;;;NA;245;NA
4;15;1463;1;P;0;1;6,1;;;;NA;215;NA
4;15;1472;1;P;1;1;12;;;;NA;230;NA
4;15;1475;1;M;0;1;6,1;;;;NA;191;NA
4;15;1477;1;A;1;1;12,2;;;;NA;230;NA
4;15;1496;0;A;1;1;7,9;;;;NA;225;NA
4;15;1503;1;P;0;1;6,1;;;;NA;42;NA
4;15;1524;0;A;0;1;7,1;;;;NA;220;NA
